sample,cnf-01-run-1,cnf-01-run-2,cnf-01-run-3,cnf-02-run-1,cnf-02-run-2,cnf-02-run-3,cnf-03-run-1,cnf-03-run-2,cnf-03-run-3,cnf-04-run-1,cnf-04-run-2,cnf-04-run-3,cnf-05-run-1,cnf-05-run-2,cnf-05-run-3,cnf-06-run-1,cnf-06-run-2,cnf-06-run-3,cnf-07-run-1,cnf-07-run-2,cnf-07-run-3,cnf-08-run-1,cnf-08-run-2,cnf-08-run-3,cnf-09-run-1,cnf-09-run-2,cnf-09-run-3
HG00096,True,True,True,False,False,True,False,True,True,True,True,False,True,True,False,True,True,False,True,False,True,True,True,False,False,False,True
HG00097,True,False,False,True,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False
HG00099,False,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,True
HG00100,False,True,False,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False
HG00101,False,False,True,True,False,True,True,False,True,False,False,True,True,False,True,False,False,True,False,True,False,True,True,True,False,True,True
HG00102,True,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,True,False,True,False,True
HG00103,False,False,False,False,True,True,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False
HG00105,True,True,False,True,True,False,True,False,False,False,True,False,False,True,True,True,False,True,False,True,True,True,False,True,True,True,True
HG00106,False,True,True,True,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False
HG00107,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False
HG00108,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,False,True,True,False,False
HG00109,True,True,True,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False
HG00110,True,False,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True
HG00111,False,True,False,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,False,True,False,False
HG00112,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False
HG00113,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,False
HG00114,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True
HG00115,False,True,True,True,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,True,False
HG00116,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False
HG00117,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,True,True,True
HG00118,True,True,False,True,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,True,True,False
HG00119,False,False,True,True,True,True,False,True,False,False,True,True,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True
HG00120,True,False,False,True,True,False,True,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,True
HG00121,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False
